Semana,T_am_bin,O2_am_bin,pH_am_bin,ph_bin,humedad_bin,proteina_bin,fibra_bin,fosfolipidos_bin,grasa_bin,tyr_bin,TA,TC,Alimento
2.0,media,alto,lig_acido,medio,baja,media,alta,alto,baja,alto,baja,baja,medio
4.0,media,alto,neutro,bajo,media,media,media,alto,alta,medio,baja,baja,bajo
11.0,media,alto,lig_acido,medio,media,media,media,medio,media,medio,baja,baja,medio
3.0,óptima,alto,lig_acido,medio,baja,alta,baja,alto,alta,alto,baja,baja,alto
2.0,media,alto,lig_acido,medio,alta,media,alta,medio,baja,alto,baja,baja,alto
6.0,óptima,alto,lig_acido,alto,media,alta,baja,medio,baja,bajo,baja,baja,bajo
4.0,óptima,alto,lig_acido,medio,media,media,media,bajo,baja,medio,baja,baja,medio
13.0,óptima,alto,lig_acido,medio,baja,baja,alta,alto,media,bajo,baja,baja,alto
2.0,óptima,alto,neutro,alto,alta,media,media,medio,baja,alto,baja,baja,medio
9.0,óptima,alto,lig_acido,alto,alta,alta,baja,alto,media,medio,baja,baja,bajo
10.0,media,alto,lig_acido,bajo,baja,media,alta,medio,media,medio,baja,baja,medio
12.0,óptima,alto,lig_acido,bajo,media,media,media,medio,media,medio,baja,baja,alto
4.0,óptima,alto,lig_acido,medio,media,baja,media,bajo,baja,bajo,baja,baja,alto
12.0,media,alto,lig_acido,medio,alta,baja,baja,medio,alta,alto,baja,baja,alto
3.0,óptima,medio,lig_acido,alto,alta,media,media,medio,baja,medio,baja,baja,medio
8.0,media,alto,lig_acido,medio,baja,media,alta,alto,alta,bajo,baja,baja,alto
4.0,media,alto,lig_acido,medio,media,baja,media,bajo,baja,medio,baja,baja,alto
6.0,media,alto,lig_acido,medio,media,baja,alta,alto,media,medio,baja,baja,bajo
8.0,media,alto,lig_acido,medio,baja,baja,alta,alto,media,medio,baja,baja,alto
1.0,óptima,alto,lig_acido,alto,alta,alta,media,alto,media,alto,baja,baja,bajo
7.0,óptima,alto,lig_acido,alto,baja,alta,baja,medio,baja,bajo,baja,baja,alto
4.0,media,alto,lig_acido,medio,media,baja,alta,alto,media,medio,baja,baja,medio
8.0,media,medio,lig_acido,medio,media,alta,baja,alto,baja,alto,baja,baja,alto
4.0,óptima,alto,lig_acido,alto,media,alta,media,medio,media,alto,baja,baja,medio
2.0,óptima,alto,lig_acido,alto,media,baja,alta,medio,baja,medio,baja,baja,medio
2.0,media,alto,lig_acido,medio,alta,alta,baja,bajo,alta,alto,baja,baja,bajo
9.0,media,alto,lig_acido,medio,baja,baja,baja,bajo,baja,bajo,baja,baja,medio
10.0,óptima,alto,lig_acido,bajo,media,baja,alta,bajo,baja,bajo,baja,baja,alto
7.0,media,alto,lig_acido,bajo,baja,baja,alta,alto,media,bajo,baja,baja,bajo
4.0,media,alto,lig_acido,alto,media,baja,alta,medio,media,bajo,baja,baja,alto
12.0,media,alto,lig_acido,medio,media,alta,baja,medio,baja,alto,baja,baja,bajo
10.0,media,alto,lig_acido,bajo,baja,media,alta,bajo,baja,alto,baja,baja,medio
3.0,baja,alto,neutro,bajo,baja,media,baja,medio,alta,alto,baja,baja,bajo
4.0,óptima,alto,lig_acido,medio,media,baja,media,bajo,baja,medio,baja,baja,bajo
9.0,media,alto,lig_acido,medio,baja,baja,alta,alto,media,bajo,baja,baja,alto
9.0,óptima,alto,lig_acido,alto,alta,media,baja,medio,baja,medio,baja,baja,medio
8.0,baja,alto,neutro,alto,alta,media,media,alto,media,alto,baja,baja,medio
4.0,media,alto,lig_acido,alto,alta,baja,baja,medio,alta,medio,baja,baja,bajo
3.0,media,alto,neutro,bajo,baja,media,baja,alto,alta,medio,baja,baja,medio
12.0,media,alto,lig_acido,bajo,media,baja,alta,alto,alta,bajo,baja,baja,bajo
8.0,baja,alto,lig_acido,bajo,baja,media,baja,alto,alta,alto,baja,baja,alto
1.0,media,alto,lig_acido,medio,baja,baja,baja,medio,alta,bajo,baja,baja,alto
6.0,media,alto,lig_acido,alto,alta,media,media,medio,baja,alto,baja,baja,medio
9.0,media,alto,lig_acido,bajo,baja,alta,baja,alto,alta,alto,baja,baja,alto
2.0,media,alto,neutro,alto,baja,alta,baja,alto,alta,alto,baja,baja,medio
14.0,óptima,alto,lig_acido,bajo,media,media,media,alto,media,medio,baja,baja,medio
3.0,óptima,alto,lig_acido,medio,alta,baja,media,medio,media,bajo,baja,baja,medio
9.0,media,alto,neutro,medio,media,media,media,medio,alta,alto,baja,baja,medio
5.0,media,alto,lig_acido,alto,baja,alta,media,alto,baja,alto,baja,baja,medio
13.0,óptima,alto,lig_acido,bajo,baja,baja,media,alto,alta,medio,baja,baja,alto
2.0,óptima,alto,lig_acido,alto,alta,media,baja,alto,media,medio,baja,baja,bajo
6.0,media,alto,neutro,bajo,media,media,alta,bajo,baja,bajo,baja,baja,alto
5.0,media,alto,lig_acido,alto,alta,alta,media,medio,media,medio,baja,baja,medio
1.0,óptima,alto,lig_acido,alto,media,baja,media,bajo,baja,bajo,baja,baja,alto
9.0,media,alto,lig_acido,medio,baja,media,alta,medio,media,medio,baja,baja,alto
